Summary

Total Wins:  [10877, 16180, 15845, 16433, 14703, 16483, 15822, 16523, 15968, 15527, 13891, 16364, 15852, 15370, 15888, 16616, 16557, 15713, 15452, 15631, 16375, 14000, 15232, 15842, 16304, 15893, 16519, 14943, 16247, 15923, 16225, 10802]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [33, 61, 303, 328, 333, 350, 332, 337, 318, 286, 232, 257, 339, 286, 312, 329, 324, 339, 305, 314, 244, 250, 287, 274, 334, 330, 327, 322, 292, 337, 64, 24]

Matchups

['0', '0', '1', '1', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  473 - 527 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  453 - 547 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  554 - 446 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  383 - 617 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  450 - 550 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  589 - 411 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  560 - 440 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  531 - 469 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  494 - 506 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  503 - 497 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  536 - 464 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  608 - 392 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '1', '0', '0']  Result:  431 - 569 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '1', '0', '1']  Result:  504 - 496 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '1', '1', '0']  Result:  473 - 527 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '1', '1', '1']  Result:  637 - 363 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '0', '0', '0']  Result:  478 - 522 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '0', '0', '1']  Result:  448 - 552 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '0', '1', '0']  Result:  577 - 423 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '0', '1', '1']  Result:  478 - 522 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '1', '0', '0']  Result:  458 - 542 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '1', '0', '1']  Result:  519 - 481 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '1', '1', '0']  Result:  688 - 312 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '1', '1', '1']  Result:  671 - 329 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '0', '0', '0']  Result:  499 - 501 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '0', '0', '1']  Result:  452 - 548 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '0', '1', '0']  Result:  548 - 452 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '0', '1', '1']  Result:  384 - 616 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '1', '0', '0']  Result:  477 - 523 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '1', '0', '1']  Result:  564 - 436 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '1', '1', '0']  Result:  518 - 482 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '1', '1', '1']  Result:  521 - 479 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '0', '0', '0']  Result:  512 - 488 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '0', '0', '1']  Result:  488 - 512 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '0', '1', '0']  Result:  540 - 460 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '0', '1', '1']  Result:  614 - 386 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '1', '0', '0']  Result:  589 - 411 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '1', '0', '1']  Result:  649 - 351 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '1', '1', '0']  Result:  659 - 341 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '1', '1', '1']  Result:  773 - 227 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  501 - 499 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  514 - 486 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  502 - 498 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  483 - 517 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  502 - 498 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  491 - 509 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  528 - 472 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  623 - 377 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  610 - 390 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  459 - 541 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  516 - 484 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  318 - 682 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  543 - 457 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  490 - 510 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  496 - 504 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  484 - 516 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  489 - 511 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  370 - 630 - 0
['0', '1', '0', '0', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  511 - 489 - 0
