Summary

Total Wins:  [107988, 162212, 158256, 163513, 148344, 164440, 158836, 164882, 158724, 153179, 139874, 164203, 158361, 153440, 158134, 166728, 165760, 158441, 153692, 158263, 163938, 139995, 153317, 158933, 164092, 157776, 163866, 148047, 163549, 158157, 162796, 108264]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [329, 643, 3286, 3330, 3427, 3286, 3387, 3389, 2913, 2892, 2353, 2648, 3542, 3042, 3325, 3328, 3365, 3319, 3134, 3451, 2730, 2260, 2986, 2863, 3303, 3340, 3322, 3394, 3302, 3327, 640, 292]

Matchups

['0', '0', '1', '1', '1']  vs.  ['1', '1', '0', '0', '0']  Result:  4974 - 5026 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '0', '0', '1']  Result:  4943 - 5057 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '0', '1', '0']  Result:  5409 - 4591 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '0', '1', '1']  Result:  5938 - 4062 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '1', '0', '0']  Result:  5934 - 4066 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '1', '0', '1']  Result:  6590 - 3410 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '1', '1', '0']  Result:  6244 - 3756 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '1', '1', '1', '1']  Result:  7669 - 2331 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  4928 - 5072 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  5053 - 4947 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  4985 - 5015 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  4991 - 5009 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  4967 - 5033 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  5024 - 4976 - 0
['0', '1', '0', '0', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  4920 - 5080 - 0
